name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude,Business_type
Pulitzer Barcelona,4.0,42.0,[12 - 33],"Carrer Bergara, 8",08002 Barcelona,100,41.3860816,2.1683428,hotel
Le Méridien Barcelona,4.0,84.0,[34 - 66],La Rambla 111,,161,,,hotel
Hotel Cotton House,4.5,47.0,[34 - 66],"Gran Via de les Corts Catalanes, 670",08010 Barcelona,151,41.391608399999996,2.1719271,hotel
Hotel Ayre Roselon,4.5,7.0,under 11,Rossello 390,,16,,,hotel
Hotel Majestic,4.0,40.0,[34 - 66],"Passeig de Gracia, 68",08007 Barcelona,129,41.3935221,2.163977,hotel
Renaissance Barcelona Hotel,4.0,53.0,[34 - 66],"Pau Claris, 122",08009 Barcelona,197,41.3927888,2.1673975,hotel
Villa Emilia,5.0,25.0,[12 - 33],"Carrer de Calàbria, 115",08015 Barcelona,94,41.380246899999996,2.1541148999999997,hotel
Hotel Arts Barcelona,4.0,103.0,,Marina 19-21,08005 Barcelona,287,41.3977365,2.2015347000000003,hotel
Mandarin Oriental,4.0,40.0,over 67,"Passeig de Gràcia, 38-40",08007 Barcelona,106,41.3912786,2.1667383,hotel
Hotel Jazz,4.5,22.0,[12 - 33],"Pelai, 3, Eixample",08001 Barcelona,23,41.385951899999995,2.1658927,hotel
K+K Hotel Picasso Barcelona,4.5,20.0,,"Passeig de Picasso, 26",08003 Barcelona,79,41.386608200000005,2.1839828999999997,hotel
Hotel Europark,4.5,46.0,[12 - 33],"Carrer d'Arago, 323",08009 Barcelona,105,41.3963208,2.1699118,hotel
Grand Hotel Central,4.0,38.0,,"Vía Laietana, 30",08003 Barcelona,151,41.384969500000004,2.1776631,hotel
Hotel Barcelona 1882,4.5,6.0,,"Carrer de Còrsega, 482",08025 Barcelona,37,41.4039366,2.1694703,hotel
Alma Barcelona,4.5,29.0,[34 - 66],"Carrer de Mallorca, 271",08008 Barcelona,75,41.3945549,2.1632686000000003,hotel
Novotel Barcelona City,4.0,13.0,[12 - 33],"Avenida Diagonal, 201",08018 Barcelona,21,41.4038393,2.1912025,hotel
Casa Fuster,4.5,24.0,over 67,"Passeig de Gràcia, 132",08008 Barcelona,49,41.3980162,2.1581229,hotel
The Barcelona EDITION,4.0,21.0,[34 - 66],"Avinguda de Francesc Cambó, 14",08003 Barcelona,78,41.385944,2.1778103,hotel
Hotel Barcelona Universal,4.0,41.0,[12 - 33],"Avinguda Paral-lel, 76",08001 Barcelona,63,41.375237,2.1684058,hotel
Hotel NH Collection Barcelona Gran Hotel Calderón,4.0,24.0,[34 - 66],"Rambla de Catalunya, 26",08007 Barcelona,62,41.3893349,2.1662721,hotel
H10 Madison,5.0,16.0,,"Carrer del Dr. Joaquim Pou, 2-4-6",08002 Barcelona,62,41.3861216,2.1753536,hotel
Claris,4.0,31.0,[34 - 66],"Carrer Pau Claris, 150",08009 Barcelona,56,41.3944721,2.1652479,hotel
Alexandra Barcelona Hotel,4.0,45.0,[34 - 66],"Carrer de Mallorca, 251",08008 Barcelona,159,41.393208200000004,2.1614617999999997,hotel
Hilton Barcelona Hotel,3.5,46.0,[34 - 66],"Avinguda Diagonal, 589-591",08014 Barcelona,157,41.388784,2.1315914,hotel
Hotel Duquesa de Cardona,4.5,32.0,[34 - 66],"Passeig de Colom, 12",08002 Barcelona,84,41.3798064,2.1804648999999996,hotel
Hotel Mercer,4.5,12.0,[34 - 66],"Carrer dels Lledó, 7",08002 Barcelona,16,41.3826336,2.1789912,hotel
Casa Bonay,4.5,15.0,[12 - 33],"Gran Via de Les Corts Catalanes, 700",08010 Barcelona,34,41.3934981,2.1744033,hotel
El Palace,4.5,20.0,over 67,"Gran Via de les Corts Catalanes, 668",08010 Barcelona,71,41.3916211,2.1716444,hotel
Hotel Praktik,4.5,18.0,[12 - 33],"Carrer de Provença, 279",08037 Barcelona,34,41.3962911,2.1631561,hotel
Hotel U232,4.5,29.0,[12 - 33],"Carrer del Comte d'Urgell, 232",08036 Barcelona,54,41.3896906,2.1489764,hotel
Soho House,5.0,5.0,over 67,"Plaça del Duc de Medinaceli, 4",08002 Barcelona,,41.3784473,2.1793251000000002,hotel
Hotel Catalonia Born,4.0,11.0,[12 - 33],"Calle Rec Comtal, 16",08003 Barcelona,6,41.389790600000005,2.1801623,hotel
Hotel Condes de Barcelona,4.0,15.0,[34 - 66],"Passeig de Gràcia, 73",08008 Barcelona,35,41.39343,2.1624077,hotel
Hotel Sofia,5.0,6.0,,"Plaça de Pius XII, 4",08028 Barcelona,14,41.385979299999995,2.1233146,hotel
Olivia Balmes,4.5,28.0,[34 - 66],"Carrer de  Balmes, 117",08008 Barcelona,55,41.3921706,2.158473,hotel
Colonial,3.5,4.0,[12 - 33],"Via Layetana, 3",08003 Barcelona,61,41.382292299999996,2.1807526000000004,hotel
Best Western Premier Hotel Dante,4.0,9.0,[12 - 33],"Carrer de Mallorca, 181",08036 Barcelona,63,41.3894736,2.1564207000000004,hotel
Arc la Rambla,4.0,9.0,[12 - 33],"La Rambla, 19",08002 Barcelona,14,41.3782064,2.1755468999999996,hotel
Vividora,5.0,2.0,,"Carrer del Duc, 15",08002 Barcelona,,41.3846923,2.1728834999999997,hotel
Hotel Colón,4.0,48.0,[34 - 66],"Avinguda Catedral, 7",08002 Barcelona,78,41.384962,2.1756662999999996,hotel
H10 Port Vell,5.0,9.0,[12 - 33],"Carrer Pas de Sota Muralla, 9",08003 Barcelona,18,41.3815909,2.1837846,hotel
Barcelona Airport Hotel,2.5,24.0,,,,,,,hotel
Hotel España Ramblas,3.5,17.0,[12 - 33],"Carrer de San Pau, 9-11",08001 Barcelona,51,41.3799306,2.1728183999999997,hotel
Hotel Ohla,4.0,20.0,[34 - 66],"Via Laietana, 49",08003 Barcelona,14,41.387027,2.1742305,hotel
AC Hotel Diagonal L’iIlla,2.5,3.0,[34 - 66],"Avinguda Diagonal, 555",08029 Barcelona,25,41.3898509,2.1357526,hotel
The Wittmore,4.5,10.0,[34 - 66],"Carrer de Riudarenes, 7",08002 Barcelona,115,41.380996,2.1796341,hotel
Hilton Diagonal Mar,4.0,67.0,[34 - 66],"Passeig del Taulat, 262-264",08019 Barcelona,237,41.4085927,2.217611,hotel
The One,3.0,2.0,,"Carrer de Provença, 277",08037 Barcelona,9,41.3961161,2.1630421,hotel
Hotel Catalonia Port,4.0,10.0,[12 - 33],"Carrer Ample, 1",08002 Barcelona,13,41.378820399999995,2.1785506000000003,hotel
Hotel Barcelona Catedral,4.5,15.0,over 67,"Carrer dels Capellans, 4",08002 Barcelona,23,41.384849100000004,2.1751236,hotel
The Serras,5.0,14.0,over 67,"Passeig de Colom, 9",08002 Barcelona,44,41.3801834,2.1807974,hotel
Sir Victor Hotel,4.0,25.0,[34 - 66],"Carrer del Rosselló, 265",08008 Barcelona,100,41.39621470000001,2.1609684,hotel
Room Mate Carla Hotel,4.5,22.0,[12 - 33],"Carrer de Mallorca, 288",08037 Barcelona,45,41.3963324,2.1661692,hotel
Gallery Hotel,4.5,23.0,[34 - 66],"Carrer del Roselló, 249",08008 Barcelona,14,41.3951333,2.1591838,hotel
Iberostar Selection Paseo de Gracia,2.5,3.0,[34 - 66],"Plaça de Catalunya, 10",08002 Barcelona,4,41.3878658,2.1693861,hotel
Hostal Grau Barcelona,4.5,15.0,under 11,"Carrer Ramelleres, 27",08001 Barcelona,36,41.3847169,2.1680884,hotel
Renaissance Barcelona Fira Hotel,4.0,35.0,,"Plaza Europa, 50-52",08902 Barcelona,147,41.3564336,2.1231632,hotel
Do,4.5,13.0,[12 - 33],"Plaça Reial, 1",08002 Barcelona,18,41.380330799999996,2.1757277000000004,hotel
AC Hotel by Marriott Irla,4.0,12.0,[12 - 33],"Carrer Calvet, 40-42",08021 Barcelona,22,41.394841799999995,2.1435665,hotel
Axel,3.0,32.0,[34 - 66],"Carrer d'Aribau, 33",08011 Barcelona,34,41.3872864,2.1604118999999997,hotel
Hotel Sagrada Familia,3.5,11.0,[12 - 33],Calle Corsega 541,08029 Barcelona,17,41.405932799999995,2.1714665,hotel
Hotel Turin,4.0,3.0,under 11,"Carrer del Pintor Fortuny, 9",08001 Barcelona,16,41.3830532,2.1702188,hotel
Hotel NH Collection Barcelona Pódium,4.5,6.0,[12 - 33],"Carrer de Bailèn, 4-6",08010 Barcelona,55,41.391437700000004,2.1782103,hotel
Eurostars Grand Marina,3.5,30.0,[34 - 66],"Moll de Barcelona, s/n",08039 Barcelona,57,41.3716088,2.1794827999999997,hotel
Neri,4.0,21.0,[34 - 66],"Carrer de Sant Sever, 5",08002 Barcelona,28,41.3832269,2.1753423,hotel
Millenni,4.0,4.0,[12 - 33],"Ronda Sant Pau, 14",08001 Barcelona,,41.375989600000004,2.167148,hotel
Hotel Cram,4.5,12.0,[34 - 66],"Carrer d'Aribau, 54",08011 Barcelona,34,41.3880549,2.1599602000000004,hotel
Sallés Hotel,3.5,14.0,,"Avinguda del Remolar, 46",08820 El Prat de Llobregat,26,41.325142,2.0870908999999997,hotel
Hotel Catalonia Eixample 1864,4.0,4.0,[12 - 33],"Carrer de Roger de Llúria, 60",08009 Barcelona,5,41.3936086,2.1685298,hotel
Hotel Sixty Two,4.5,15.0,[34 - 66],"Passeig de Gràcia, 62",08007 Barcelona,68,41.3929971,2.1646338,hotel
Hotel Condal,2.0,6.0,under 11,"Carrer de la Boqueria, 23",08002 Barcelona,6,41.3815395,2.174258,hotel
Rafaelhoteles Badalona,3.5,3.0,,Avinguda de Navarra 6-8,08911 Badalona,,41.4562401,2.2490516,hotel
Ayre Hotel Rosellón,4.0,11.0,[12 - 33],"Carrer del Roselló, 390",08025 Barcelona,34,41.404738200000004,2.1727127,hotel
Andante Hotel,4.5,16.0,[12 - 33],Av. de les Drassanes 23-25,08001 Barcelona,17,41.376603499999995,2.172713,hotel
Gaudi Hotel Barcelona,2.5,15.0,,"Calle NOU de la Rambla, 12",08001 Barcelona,,41.3789033,2.1739175,hotel
H10 Catalunya Plaza,3.5,9.0,[34 - 66],"Plaça de Catalunya, 7",08002 Barcelona,57,41.386815999999996,2.1685497000000002,hotel
Siresa Europea,,,,"Calle Roger de Lluria, 118",08037 Barcelona,,41.3969971,2.1640965,hotel
Gotico Hotel,3.5,11.0,[34 - 66],"Calle Jaume I, 14",08002 Barcelona,55,41.38344910000001,2.1782809,hotel
Majestic Residence,4.0,2.0,[34 - 66],"Passeig de Gracia, 69",08008 Barcelona,36,41.393363799999996,2.1628107000000005,hotel
Hotel Catalonia Park Guell,1.0,4.0,[34 - 66],"Paseo Mare de deu del Coll, 10",08023 Barcelona,8,41.408407399999994,2.150252,hotel
Nobu Hotel Barcelona,4.0,1.0,,"Av. de Roma, 2-4",08014 Barcelona,14,41.3797146,2.1426221,hotel
Royal Ramblas Hotel,4.0,14.0,[34 - 66],117 La Rambla,08002 Barcelona,6,41.3842824,2.1703916000000003,hotel
H10 Casa Mimosa,5.0,9.0,[12 - 33],"Carrer de Pau Claris, 179",08037 Barcelona,4,41.396174,2.1621006,hotel
Praktik Rambla,4.5,13.0,[12 - 33],"Rambla de Catalunya, 27",08007 Barcelona,20,41.3890045,2.1658044999999997,hotel
Constanza,4.0,8.0,[34 - 66],"Carrer del Bruc, 42",08010 Barcelona,17,41.39183,2.173048,hotel
Hotel Occidental Atenea Mar,3.0,7.0,[34 - 66],"Passeig García i Faria, 37-47",08019 Barcelona,27,41.3850494,2.1733247,hotel
Olivia Plaza Hotel,4.5,19.0,[34 - 66],"Placa de Catalunya, 19",08002 Barcelona,42,41.386145899999995,2.1711593999999996,hotel
Barcelona Nouvel Hotel,3.5,3.0,[34 - 66],Calle Santa Ana 18-20,08002 Barcelona,,41.3851769,2.171716,hotel
Ayre Hotel Caspe,3.5,7.0,[12 - 33],Caspe 103,08013 Barcelona,6,41.3959771,2.1793415,hotel
Avenida Palace,3.5,18.0,over 67,"Calle Gran Via de Les Corts Catalanes, 605",08007 Barcelona,26,41.3890576,2.167148,hotel
The Mirror Hotel,4.0,17.0,[12 - 33],"Carrer de Còrsega, 255",08036 Barcelona,32,41.393189500000005,2.1543484,hotel
Equity Point Centric,3.0,11.0,,"Passeig de Gracia, 33",08007 Barcelona,16,41.3908631,2.1657853,hotel
Hotel Medium Prisma,3.5,3.0,[12 - 33],Avenida Josep Tarradellas 119-121,08029 Barcelona,23,41.3890596,2.1429652000000003,hotel
Hotel Curious,4.5,15.0,[12 - 33],"Carrer Carme, 25",08001 Barcelona,13,41.3823175,2.1704775,hotel
Hotel Lleó,4.0,7.0,[12 - 33],"Carrer de Pelai, 22",08001 Barcelona,,41.3856969,2.1664138,hotel
Le Palacete,5.0,1.0,,"Carrer de la Legalitat, 10",08024 Barcelona,8,41.407621899999995,2.1596197999999998,hotel
Hotel Catalonia 505,3.0,3.0,[12 - 33],"Carrer de Muntaner, 505",08022 Barcelona,24,41.403121399999996,2.1370638,hotel
Ramblas 108,5.0,1.0,[12 - 33],"La Rambla, 108",08002 Barcelona,,41.3825813,2.1722943,hotel
Hotel Regencia Colon,4.0,8.0,[12 - 33],"Carrer Sagristans, 13/17",08002 Barcelona,10,41.3853509,2.175647,hotel
Hotel Del Mar,2.5,7.0,under 11,"Plaça Palau, 19",08002 Barcelona,54,41.3819916,2.1839828999999997,hotel
Room Mate Pau Hotel,4.0,9.0,[12 - 33],"Carrer Fontanella, 7",08010 Barcelona,58,41.38768029999999,2.1717388,hotel
Alimara,2.5,8.0,[12 - 33],"Carrer de Berruguete, 126",08035 Barcelona,,41.4339684,2.1474832000000004,hotel
Hotel Catalonia Diagonal Centro,4.0,1.0,[12 - 33],"Carrer de Balmes, 142",08008 Barcelona,11,41.39400139999999,2.1569578999999997,hotel
Park Hotel,4.5,4.0,over 67,"Avinguda del Marquès de l'Argentera, 11",08003 Barcelona,31,41.3842534,2.1843322999999994,hotel
Hotel Crowne Plaza Fira Center,4.5,22.0,[34 - 66],"Avinguda Rius i Taulet, 1-3",08004 Barcelona,42,41.3724753,2.1550853,hotel
AC Hotel by Marriott Barcelona Forum,3.0,25.0,[34 - 66],Paseo Taulat 278,08019 Barcelona,44,41.4099,2.2186,hotel
Hotel 54 Barceloneta,3.5,4.0,[12 - 33],"Passeig Joan de Borbo, 54",08003 Barcelona,19,41.37706729999999,2.1888406000000002,hotel
Hotel Balmes,4.5,8.0,[12 - 33],"Carrer de Mallorca, 216",08008 Barcelona,55,41.391062100000006,2.1593373,hotel
Jorsu Catalana,,,,"Calle Ausias Marc, 109",08013 Barcelona,,41.3954631,2.1808837000000003,hotel
Senator Barcelona,2.5,2.0,[34 - 66],"Carrer Cardenal Reig, 11",08028 Barcelona,16,41.3775885,2.1136138,hotel
Gaudí,,,,12 Carrer Nou de la Rambla,08001 Barcelona,,41.3789033,2.1739175,hotel
Ibis,4.5,7.0,[12 - 33],"Carrer de la Ciutat de Granada, 99",08018 Barcelona,8,41.4009989,2.1944154,hotel
The Corner Hotel,4.5,17.0,[12 - 33],"Carrer de Mallorca, 178",08036 Barcelona,34,41.3890741,2.1565824,hotel
Hotel Nouvel,3.5,16.0,[12 - 33],Santa Ana 20,08002 Barcelona,29,41.3852956,2.171631,hotel
Motel One,4.0,7.0,[12 - 33],"Passeig de Pujades, 11",08018 Barcelona,30,41.3900682,2.1845157000000004,hotel
Campanile Barcelona Sud-Cornella,4.0,2.0,,"Avenida del Maresme, 7",08940 Cornellà de Llobregat,,41.3482465,2.0827231,hotel
Royal,4.0,7.0,[12 - 33],"Passeig de Gracia, 84",08008 Barcelona,33,41.3946531,2.1624779999999997,hotel
Monument Hotel,3.5,3.0,,"Passeig de Gràcia, 75",08008 Barcelona,9,41.393908200000006,2.1622556,hotel
Room Mate Anna Hotel,4.5,9.0,[12 - 33],"Carrer d'Aragó, 271",08007 Barcelona,18,41.3929045,2.1654014999999998,hotel
Hotel Acta Splendid,3.0,3.0,[12 - 33],Calle Muntaner 2,08011 Barcelona,,41.3833294,2.1635413,hotel
NH Constanza,3.0,7.0,[34 - 66],"Carrer de Deu i Mata, 69",08029 Barcelona,21,41.3888902,2.1362928,hotel
AC Hotel by Marriott Sants,4.0,17.0,[12 - 33],"Passeig de Sant Antoni, 36-40",08014 Barcelona,47,41.377363,2.1385368,hotel
hotels barcelona spain,4.5,3.0,under 11,Barcelona,08001 Barcelona,54,41.37958629999999,2.1683571,hotel
Soho Barcelona,4.0,9.0,[12 - 33],"Gran Via de les Corts Catalanes, 543",08011 Barcelona,16,41.383412899999996,2.1598148999999998,hotel
Hostalin Barcelona,3.0,2.0,,"Carrer de la Diputació, 346",08013 Barcelona,,41.396451500000005,2.1754398999999998,hotel
Casa Marcelo,5.0,1.0,,"Carrer Reva Palau, 2",08003 Barcelona,4,41.3837515,2.1834724,hotel
AC Hotel by Marriott Victoria Suites,4.5,4.0,[12 - 33],"Carrer Beltran i Rozpide, 7",08034 Barcelona,14,41.3893534,2.1209824,hotel
Colors,2.0,1.0,,Campoamor 79,08031 Barcelona,,41.435140600000004,2.1536769000000002,hotel
Hesperia Presidente,4.0,14.0,[34 - 66],Avinguda Diagonal 570,08021 Barcelona,10,41.3928822,2.1438566000000003,hotel
Hotel Miramar,4.0,15.0,over 67,"Plaça Carlos Ibanez, 3",08038 Barcelona,37,41.3703336,2.1713897,hotel
Hotel Medicis,4.0,2.0,[34 - 66],"Carrer de Castillejos, 340",08025 Barcelona,5,41.410652899999995,2.1731363999999997,hotel
Hotel NH Porta Barcelona,4.0,1.0,,"Avinguda Generalitat de Catalunya, 2",08960 Sant Just Desvern,5,41.37727520000001,2.078967,hotel
Hotel Ciutadella Barcelona,3.0,3.0,[12 - 33],"Avinguda del Marquès de l'Argentera, 4",08003 Barcelona,40,41.3837693,2.1846922,hotel
St. Christopher’s Inn,4.0,20.0,,,,,,,hotel
B Hotel,4.5,15.0,[12 - 33],"Gran Via de les Corts Catalanes, 389-391",08015 Barcelona,18,41.3765644,2.1505278999999997,hotel
Catalonia Barcelona Golf,3.0,1.0,,,,,,,hotel
Mihlton,5.0,1.0,,,,,,,hotel
Ilunion Almirante,3.0,6.0,,,,,,,hotel
Hotel Peninsular,4.0,8.0,,,,,,,hotel
Banys Oriental,4.5,13.0,[12 - 33],,,,,,hotel
Hotel Capri by Fraser,3.5,3.0,[12 - 33],,,,,,hotel
Hotel Granados 83,4.0,25.0,[34 - 66],,,,,,hotel
Hotel Oasis,4.0,8.0,[12 - 33],,,,,,hotel
Ámister Art Hotel,4.0,8.0,[12 - 33],,,,,,hotel
Hotel Regina,3.0,8.0,[34 - 66],,,,,,hotel
Silken Concordia,4.0,10.0,[12 - 33],,,,,,hotel
H10 Art Gallery,3.0,3.0,[12 - 33],,,,,,hotel
Gran Hotel Havana,4.0,12.0,[12 - 33],,,,,,hotel
AC Hotel by Marriott Som,3.0,6.0,,,,,,,hotel
Hotel Ciutat Barcelona,3.5,13.0,[12 - 33],,,,,,hotel
Tryp Apolo Hotel,3.0,35.0,[12 - 33],,,,,,hotel
Franquesa Malaguti,,,,,,,,,hotel
Petit Palace Boqueria Garden,3.5,21.0,[12 - 33],,,,,,hotel
Hotel Casa Camper,4.5,30.0,[34 - 66],,,,,,hotel
Holiday Inn Express,3.5,15.0,[12 - 33],,,,,,hotel
Siete Cero DOS Limpiezas Gestionadas,,,,,,,,,hotel
Hotel Apsis Porta Marina,4.0,1.0,[12 - 33],,,,,,hotel
Hotel Catalonia,3.0,7.0,[34 - 66],,,,,,hotel
Banquetes Reunidos,,,,,,,,,hotel
Fonda Espanya,4.5,10.0,over 67,"Carrer de Sant Pau, 9",08001 Barcelona,28,41.3799896,2.1728541,hotel
Exe Laietana Palace,2.5,7.0,[34 - 66],"Via Laietana, 17",08003 Barcelona,4,41.3832936,2.1792409,hotel
Hotel H10,4.5,7.0,[12 - 33],"Plaça d'Urquinaona, 2",08010 Barcelona,23,41.389212799999996,2.1726015,hotel
H10 Metropolitan,4.0,4.0,[34 - 66],"Rambla de Catalunya, 7-9",08007 Barcelona,67,41.3875467,2.1673975,hotel
Hotel Ohla Eixample,4.0,5.0,[34 - 66],"Carrer de Còrsega, 289",08008 Barcelona,6,41.3945776,2.1564782000000005,hotel
Well and Come,5.0,3.0,[34 - 66],"Carrer de Girona, 168",08037 Barcelona,5,41.399754200000004,2.1647762999999998,hotel
Hotel La Casa del Sol,5.0,2.0,[12 - 33],"Plaça del Sol, 23",08012 Barcelona,,41.4014072,2.156544,hotel
Meliá Barcelona,4.0,19.0,[34 - 66],"Avinguda de Sarrià, 50",08029 Barcelona,53,41.391058,2.141706,hotel
Hotel Del Compte,4.0,2.0,under 11,"Calle Diputacio, 142 - 144",08015 Barcelona,10,41.3826532,2.1571114,hotel
NH Eixample,3.0,7.0,under 11,"Carrer de València, 105-107",08011 Barcelona,7,41.3860105,2.1542331000000003,hotel
HCC Montblanc,3.0,12.0,[12 - 33],"Via Laietana, 61",08003 Barcelona,11,41.3877322,2.1731363999999997,hotel
Hotel Bagués,5.0,8.0,over 67,"La Rambla, 105",08002 Barcelona,22,41.3827894,2.1715636000000003,hotel
Hotel Porta Fira,4.0,27.0,,"Plaza Europa, 45",08908 Hospitalet de Llobregat,73,41.354890000000005,2.12554,hotel
Santa Marta,5.0,2.0,[12 - 33],"Carrer del General Castaños, 14",08003 Barcelona,,41.3836481,2.1851828999999996,hotel
Petit Palace Museum,3.5,5.0,[34 - 66],"Carrer de la Diputació, 250",08007 Barcelona,9,41.3887977,2.1653631,hotel
Two Hotel,4.5,17.0,[12 - 33],"Carrer de Calàbria, 90-92",08015 Barcelona,13,41.379129999999996,2.1560836,hotel
Ibis Barcelona Centro,4.0,6.0,,"Carrer Napoles, 230",08013 Barcelona,6,41.400769,2.1724972,hotel
Ficfrei,,,,"Paseo Pujades, 17",08018 Barcelona,,41.3927773,2.1883414,hotel
H10 Cubik,4.0,16.0,[34 - 66],"Via Laietana, 69",08003 Barcelona,49,41.3878251,2.1729455,hotel
Fedasosa,,,,"Calle Maladeta, 51",08950 Esplugues De Llobregat,,41.372186299999996,2.0999539,hotel
Hotel Advance,5.0,4.0,[12 - 33],Calle de Sepúlveda 180,08011 Barcelona,12,41.3832309,2.1629669,hotel
Praktik Garden,3.5,13.0,[12 - 33],"Carrer de la Diputació, 325",08009 Barcelona,14,41.39395,2.1711785,hotel
Hotel Barcelona House,2.0,13.0,[12 - 33],"Carrer Escudellers, 19",08002 Barcelona,7,41.379461799999994,2.1760157,hotel
Hotel NH Barcelona Les Corts,3.5,2.0,,"Travessera de les Corts, 292",08029 Barcelona,33,41.3874135,2.1366292999999996,hotel
Four Points by Sheraton Barcelona Diagonal,4.0,26.0,[12 - 33],"Avenida Diagonal, 161",08018 Barcelona,46,41.4052879,2.1961972000000003,hotel
Hotel Apsis Sant Angelo,5.0,1.0,under 11,Consejo de Ciento 74,08015 Barcelona,11,41.3791995,2.1503384999999997,hotel
ABaC Hotel,5.0,4.0,over 67,"Avinguda del Tibidabo, 1",08022 Barcelona,40,41.4107156,2.1362588,hotel
"Hotel Nuñez Urgel Comte D’urgell, 232",,,,"C Comte D'urgell, 232",08036 Barcelona,,41.3896906,2.1489764,hotel
Silken Sant Gervasi,4.0,5.0,[12 - 33],"Carrer Sant Gervasi de Cassoles, 26",08022 Barcelona,9,41.4047427,2.1388848,hotel
Wilson,5.0,10.0,[12 - 33],"Avinguda Diagonal, 568",08021 Barcelona,12,41.39443320000001,2.1500603,hotel
Hostemplo,,,,"Paseo Mallorca, 362",08013 Barcelona,,41.400701,2.1720231,hotel
Gestion Hotelera Ballester,,,,"C Valencia, 154",08011 Barcelona,,41.386118599999996,2.1548665000000002,hotel
Hotel Pelayo,4.0,1.0,under 11,"Calle Pelai, 9 - 1 1",08001 Barcelona,,41.3859194,2.166553,hotel
Sunotel BCN,1.0,2.0,[12 - 33],"Calle Gran VIA de LES Corts Catalanes, 570",08011 Barcelona,,41.3841429,2.1616896,hotel
Acta Mimic,3.0,7.0,,C/ Arc del Teatre 58,08001 Barcelona,11,41.375411799999995,2.1728702999999996,hotel
Marin Gonzalez Gabriel,,,,"Calle Corsega, 200",08036 Barcelona,,41.3909778,2.1523338,hotel
Hotel America,4.5,7.0,[12 - 33],Calle ProvenÇa 195,08008 Barcelona,10,41.3918818,2.1573417,hotel
Hotel Abba Garden,3.5,3.0,,"Carrer de Santa Rosa, 33",08950 Barcelona,30,41.385480799999996,2.1018838,hotel
Hotel Catalonia Portal de l’Angel,4.0,5.0,[34 - 66],"Portal de l'Àngel,17",08002 Barcelona,9,41.385488099999996,2.1728485,hotel
City Park Hotel Sant Just,,,,Carretera Reial A 0,08960 Sant Just Desvern,,41.379679100000004,2.0665186,hotel
Mercer Hoteles,5.0,1.0,[34 - 66],"Calle Boria, 24",08003 Barcelona,,41.384686,2.1790825000000003,hotel
Hotel Reding,4.0,10.0,[12 - 33],"Calle Gravina, 5",08001 Barcelona,,41.385324600000004,2.1656601,hotel
Acta BCN 40,5.0,2.0,,c/ Joaquin Costa 40,08001 Barcelona,,41.3827157,2.165901,hotel
OD Barcelona,5.0,5.0,,"Carrer d'Aragó, 300",08009 Barcelona,11,41.39380379999999,2.1676127,hotel
Pullman,4.0,22.0,[34 - 66],"Avinguda del Litoral, 10",08005 Barcelona,103,41.385698600000005,2.1948128,hotel
Hotel NH Barcelona Entenza,4.5,3.0,under 11,"Carrer de l'Equador, 20",08029 Barcelona,29,41.385758100000004,2.1405935,hotel
Hoteles Solvasa,1.0,1.0,,Plaza Dr. Letamendi 37,08007 Barcelona,,41.388741499999995,2.1616405,hotel
Hotel Ibis,3.0,2.0,,"Avinguda de la Pallaresa, 73",08921 Santa Coloma de Gramenet,16,41.4525932,2.201993,hotel
Fairmont Rey Juan Carlos I,4.0,29.0,[34 - 66],"Avinguda Diagonal, 661",08028 Barcelona,71,41.3830227,2.1095883,hotel
Intown Europe,,,,"Calle Carders, 6",08003 Barcelona,,41.3859252,2.1800353,hotel
Rey Don Jaime I,1.5,3.0,under 11,"C Jaume I, 11",08002 Barcelona,,41.383336299999996,2.1778807000000002,hotel
Vincci Gala 4,4.5,7.0,[12 - 33],"Ronda Sant Pere, 32",08010 Barcelona,21,41.389441999999995,2.1747102000000003,hotel
H10 Montcada,4.0,19.0,[34 - 66],"Via Laietana, 24",08003 Barcelona,20,41.3844474,2.1783805,hotel
Almanac,5.0,7.0,,"Gran Via de les Corts Catalanes, 619",08007 Barcelona,17,41.390542100000005,2.1692957,hotel
Hotel Denit,3.5,17.0,[12 - 33],"Carrer d'Estruc, 24 - 26",08002 Barcelona,43,41.387037400000004,2.1726373,hotel
Hotel Midmost,3.5,9.0,[12 - 33],"Carrer Pelai, 14",08001 Barcelona,17,41.385637100000004,2.1659580000000003,hotel
Hotel Front Maritim,3.0,4.0,[12 - 33],"Passeig García i Faria, 69-71",08019 Barcelona,6,41.3850494,2.1733247,hotel
Hotel Granvía,4.0,22.0,[12 - 33],"Gran Vía de les Corts Catalanes, 642",08007 Barcelona,53,41.3900159,2.1695056,hotel
"roig cerrudo,ana 000950091r slne",,,,"Calle Salva, 78",08004 Barcelona,,41.3715273,2.1647985,hotel
Sabor Intens,,,,"Plaza Llibertat, 1",08012 Barcelona,,41.399874600000004,2.1539571,hotel
Aparthotel Silver,4.5,11.0,[12 - 33],"Carrer de Bretón de los Herreros, 26",08012 Barcelona,37,41.402100700000005,2.1511812999999997,hotel
Chic&Basic Velvet,1.0,1.0,,"Carrer del Consell de Cent, 74",08015 Barcelona,19,41.3791995,2.1503384999999997,hotel
Hotel Catalonia Plaza Catalunya,4.5,5.0,[12 - 33],"Carrer de Bergara, 11",08002 Barcelona,8,41.3865706,2.1683379,hotel
Omnium,4.0,3.0,,"Carrer del Bruc, 42",08010 Barcelona,13,41.39183,2.173048,hotel
